Fecha,Tipo,Número Registro,Nombre Comercial,Cantidad,Unidad,Peso,Valor,Modalidad,Importador,Exportador,Pais Origen,Pais Destino,Puerto Ingreso,Componente IAGT
18/7/2024 12:00,Fertilizantes,1905,Inquifol 20-20-20,500,KILOGRAMOS,500,1075,Exportación,Colono Agropecuario S.A (Honduras),DISTRIBUIDORA INQUISA SOCIEDAD ANONIMA,COSTA RICA,HONDURAS,ADUANA DE PEÑAS BLANCAS,Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) /
18/7/2024 14:38,Fertilizantes,7219,ELE-MAX NUTRIENT CONCENTRATE 11-8-5,1200,LITROS,1200,"4894,64",Exportación,Colono Agropecuario S.A (Honduras),El Colono Agropecuario S.A,ESTADOS UNIDOS,HONDURAS,ADUANA DE PEÑAS BLANCAS,Boro expresado (B) / Cobalto / Cobre expresado (Cu) / Fósforo expresado (P2O5) / Hierro expresado (Fe) / Manganeso expresado (Mn) / Molibdeno expresado (Mo) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) / Zinc expresado (Zn) /
22/7/2024 7:06,Fertilizantes,7599,COLONOFERTIL 18-5-15 ACTIVADA,24750,KILOGRAMOS,24750,14850,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,COSTA RICA,NICARAGUA,ADUANA DE PEÑAS BLANCAS,Azufre expresado (S) / Boro expresado (B) / Calcio expresado (CaO) / Fósforo expresado (P2O5) / Magnesio expresado (MgO) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) / Silicio expresado (SiO2) /
23/7/2024 15:18,Fertilizantes,8046,Colonofertil Urea Granular,29250,KILOGRAMOS,29250,14950,Exportación,El Colono Agropecuario S.A. (Panama),El Colono Agropecuario S.A,TRINIDAD Y TOBAGO,PANAMÁ,ADUANA DE PASO CANOAS,Nitrógeno Total expresado (N) /
23/7/2024 16:02,Fertilizantes,6832,COLONOFERTIL 16-5-23 SILICATADA,29250,KILOGRAMOS,29250,14300,Exportación,El Colono Agropecuario S.A. ( Panama),El Colono Agropecuario S.A,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Azufre expresado (S) / Calcio expresado (CaO) / Fósforo expresado (P2O5) / Magnesio expresado (MgO) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) / Silicio expresado (SiO2) / Inertes /
23/7/2024 17:25,Fertilizantes,7712,"COLONOFERTIL MAGAMON 21-0-0-7,5(MgO)-11(CaO)",29250,KILOGRAMOS,29250,13000,Exportación,El Colono Agropecuario S.A. ( Panama),El Colono Agropecuario S.A,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Calcio expresado (CaO) / Magnesio expresado (MgO) / Nitrógeno Total expresado (N) /
23/7/2024 17:58,Fertilizantes,7712,"COLONOFERTIL MAGAMON 21-0-0-7,5(MgO)-11(CaO)",29250,KILOGRAMOS,29250,13000,Exportación,El Colono Agropecuario S.A. ( Panama),El Colono Agropecuario S.A,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Calcio expresado (CaO) / Magnesio expresado (MgO) / Nitrógeno Total expresado (N) /
23/7/2024 18:12,Fertilizantes,6832,COLONOFERTIL 16-5-23 SILICATADA,29250,KILOGRAMOS,29250,14300,Exportación,El Colono Agropecuario S.A. ( Panama),El Colono Agropecuario S.A,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Azufre expresado (S) / Calcio expresado (CaO) / Fósforo expresado (P2O5) / Magnesio expresado (MgO) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) / Silicio expresado (SiO2) / Inertes /
23/7/2024 18:24,Fertilizantes,7537,COLONOFERTIL DAP 18-46-0,13500,KILOGRAMOS,13500,10800,Exportación,El Colono Agropecuario S.A. ( Panama),El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),PANAMÁ,ADUANA DE PASO CANOAS,Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) /
23/7/2024 18:24,Fertilizantes,8046,Colonofertil Urea Granular,15750,KILOGRAMOS,15750,8050,Exportación,El Colono Agropecuario S.A. ( Panama),El Colono Agropecuario S.A,TRINIDAD Y TOBAGO,PANAMÁ,ADUANA DE PASO CANOAS,Nitrógeno Total expresado (N) /
